year,id,age,income,cohort
1997.0,7180.0,34.0,30806.96,1963.0
1996.0,7180.0,33.0,3415.67,1963.0
1981.0,10003.0,38.0,19818.03,1943.0
1985.0,10003.0,42.0,22072.0,1943.0
1986.0,10003.0,43.0,21153.1,1943.0
1982.0,10003.0,39.0,19144.48,1943.0
1997.0,10003.0,54.0,21267.0,1943.0
1979.0,10003.0,36.0,15092.03,1943.0
1992.0,10003.0,49.0,29665.0,1943.0
1988.0,10003.0,45.0,23526.55,1943.0
1995.0,10003.0,52.0,18239.15,1943.0
1994.0,10003.0,51.0,9178.43,1943.0
1978.0,10003.0,35.0,16077.1,1943.0
1991.0,10003.0,48.0,33814.0,1943.0
1987.0,10003.0,44.0,23985.95,1943.0
1989.0,10003.0,46.0,27228.0,1943.0
1993.0,10003.0,50.0,31379.0,1943.0
1980.0,10003.0,37.0,14498.22,1943.0
1983.0,10003.0,40.0,20112.6,1943.0
1990.0,10003.0,47.0,26465.0,1943.0
1996.0,10003.0,53.0,15128.9,1943.0
1984.0,10003.0,41.0,18429.05,1943.0
1985.0,10005.0,27.0,-122.0,1958.0
1986.0,10005.0,28.0,17140.0,1958.0
1991.0,10005.0,33.0,14887.5,1958.0
1993.0,10005.0,35.0,9771.0,1958.0
1990.0,10005.0,32.0,33018.0,1958.0
1984.0,10005.0,26.0,30848.0,1958.0
1992.0,10005.0,34.0,21100.0,1958.0
1983.0,10005.0,25.0,14747.0,1958.0
1989.0,10005.0,31.0,20953.8,1958.0
1988.0,10005.0,30.0,23903.5,1958.0
1987.0,10005.0,29.0,18510.0,1958.0
1996.0,10006.0,33.0,16306.51,1963.0
1995.0,10006.0,32.0,29470.41,1963.0
1988.0,10006.0,25.0,12806.5,1963.0
1993.0,10006.0,30.0,14687.5,1963.0
1994.0,10006.0,31.0,26899.54,1963.0
1991.0,10006.0,28.0,2670.0,1963.0
1992.0,10006.0,29.0,17897.44,1963.0
1990.0,10006.0,27.0,7887.4,1963.0
1997.0,10006.0,34.0,19682.39,1963.0
1989.0,10006.0,26.0,12706.6,1963.0
1997.0,10007.0,32.0,11531.44,1965.0
1994.0,10007.0,29.0,12754.28,1965.0
1993.0,10007.0,28.0,12434.5,1965.0
1992.0,10007.0,27.0,10418.5,1965.0
1991.0,10007.0,26.0,33814.0,1965.0
1996.0,10007.0,31.0,9772.84,1965.0
1995.0,10007.0,30.0,8991.44,1965.0
1990.0,10007.0,25.0,26465.0,1965.0
1990.0,10021.0,44.0,45982.0,1946.0
1997.0,10021.0,51.0,17552.0,1946.0
1986.0,10021.0,40.0,27126.06,1946.0
1980.0,10021.0,34.0,16977.0,1946.0
1985.0,10021.0,39.0,24229.0,1946.0
1993.0,10021.0,47.0,37574.75,1946.0
1995.0,10021.0,49.0,38518.21,1946.0
1994.0,10021.0,48.0,31399.36,1946.0
1991.0,10021.0,45.0,48483.5,1946.0
1996.0,10021.0,50.0,23282.02,1946.0
1981.0,10021.0,35.0,15744.26,1946.0
1983.0,10021.0,37.0,21157.8,1946.0
1984.0,10021.0,38.0,21505.0,1946.0
1992.0,10021.0,46.0,43937.0,1946.0
1989.0,10021.0,43.0,44175.8,1946.0
1988.0,10021.0,42.0,43407.3,1946.0
1982.0,10021.0,36.0,19439.0,1946.0
1987.0,10021.0,41.0,24055.85,1946.0
1979.0,10021.0,33.0,15642.0,1946.0
1978.0,10021.0,32.0,17215.2,1946.0
1996.0,10030.0,25.0,693.91,1971.0
1997.0,10030.0,26.0,35947.55,1971.0
1979.0,10171.0,34.0,15642.0,1945.0
1985.0,10171.0,40.0,24229.0,1945.0
1987.0,10171.0,42.0,24055.85,1945.0
1984.0,10171.0,39.0,21505.0,1945.0
1990.0,10171.0,45.0,45982.0,1945.0
1995.0,10171.0,50.0,38518.21,1945.0
1981.0,10171.0,36.0,15744.26,1945.0
1986.0,10171.0,41.0,27126.06,1945.0
1993.0,10171.0,48.0,37574.75,1945.0
1983.0,10171.0,38.0,21157.8,1945.0
1982.0,10171.0,37.0,19439.0,1945.0
1989.0,10171.0,44.0,44175.8,1945.0
1988.0,10171.0,43.0,43407.3,1945.0
1996.0,10171.0,51.0,23282.02,1945.0
1980.0,10171.0,35.0,16977.0,1945.0
1994.0,10171.0,49.0,31399.36,1945.0
1991.0,10171.0,46.0,48483.5,1945.0
1978.0,10171.0,33.0,17215.2,1945.0
1992.0,10171.0,47.0,43937.0,1945.0
1993.0,10172.0,26.0,37574.75,1967.0
1994.0,10172.0,27.0,9178.43,1967.0
1992.0,10172.0,25.0,43937.0,1967.0
1980.0,10173.0,33.0,7875.0,1947.0
1984.0,10174.0,34.0,30848.0,1950.0
1993.0,10176.0,32.0,14687.5,1961.0
1989.0,10176.0,28.0,12706.6,1961.0
1997.0,10176.0,36.0,19682.39,1961.0
1995.0,10176.0,34.0,29470.41,1961.0
1996.0,10176.0,35.0,16306.51,1961.0
1992.0,10176.0,31.0,17897.44,1961.0
1987.0,10176.0,26.0,11555.55,1961.0
1994.0,10176.0,33.0,26899.54,1961.0
1988.0,10176.0,27.0,12806.5,1961.0
1994.0,10177.0,30.0,22975.46,1964.0
1995.0,10177.0,31.0,17839.41,1964.0
1990.0,10177.0,26.0,33018.0,1964.0
1996.0,10177.0,32.0,18905.97,1964.0
1989.0,10177.0,25.0,20953.8,1964.0
1997.0,10177.0,33.0,19352.81,1964.0
1991.0,10177.0,27.0,14887.5,1964.0
1993.0,10178.0,41.0,9771.0,1952.0
1993.0,10179.0,34.0,12434.5,1959.0
1997.0,11003.0,44.0,21070.41,1953.0
1992.0,11003.0,39.0,41113.79,1953.0
1995.0,11003.0,42.0,32698.72,1953.0
1988.0,11003.0,35.0,31007.8,1953.0
1987.0,11003.0,34.0,29943.25,1953.0
1993.0,11003.0,40.0,47224.44,1953.0
1984.0,11003.0,31.0,19713.4,1953.0
1983.0,11003.0,30.0,21773.7,1953.0
1985.0,11003.0,32.0,21395.38,1953.0
1994.0,11003.0,41.0,43797.88,1953.0
1989.0,11003.0,36.0,32901.53,1953.0
1990.0,11003.0,37.0,36262.28,1953.0
1982.0,11003.0,29.0,28119.0,1953.0
1980.0,11003.0,27.0,13866.35,1953.0
1981.0,11003.0,28.0,18977.6,1953.0
