id,Year,Age,Income
22002.0,1989.0,57.0,15613.08
22003.0,1997.0,40.0,25785.45
22003.0,1991.0,34.0,15466.5
22003.0,1988.0,31.0,14924.13
22003.0,1994.0,37.0,37987.56
22003.0,1987.0,30.0,20054.62
22003.0,1989.0,32.0,16736.0
22003.0,1993.0,36.0,65721.7
22003.0,1992.0,35.0,42476.59
22003.0,1995.0,38.0,24238.01
22003.0,1990.0,33.0,17013.1
22003.0,1996.0,39.0,26162.94
22174.0,1993.0,31.0,65721.7
22174.0,1994.0,32.0,37987.56
22174.0,1995.0,33.0,24238.01
22174.0,1997.0,35.0,25785.45
22174.0,1996.0,34.0,26162.94
22174.0,1992.0,30.0,42476.59
23001.0,1984.0,65.0,20126.0
23001.0,1983.0,64.0,19602.0
23001.0,1981.0,62.0,17622.0
23001.0,1980.0,61.0,12687.0
23001.0,1978.0,59.0,9300.0
23001.0,1982.0,63.0,20312.0
23001.0,1979.0,60.0,12499.2
23002.0,1981.0,63.0,17622.0
23002.0,1982.0,64.0,20312.0
23002.0,1980.0,62.0,12687.0
23002.0,1979.0,61.0,12499.2
23002.0,1983.0,65.0,19602.0
23002.0,1978.0,60.0,9300.0
23003.0,1986.0,36.0,43021.25
23003.0,1981.0,31.0,21272.82
23003.0,1997.0,47.0,37326.22
23003.0,1996.0,46.0,33364.07
23003.0,1982.0,32.0,31383.78
23003.0,1983.0,33.0,26859.2
23003.0,1989.0,39.0,51097.06
23003.0,1988.0,38.0,62950.5
23003.0,1985.0,35.0,28367.24
23003.0,1992.0,42.0,21733.38
23003.0,1991.0,41.0,24286.5
23003.0,1984.0,34.0,27290.85
23003.0,1995.0,45.0,38768.47
23003.0,1994.0,44.0,25618.93
23003.0,1987.0,37.0,42922.55
23003.0,1990.0,40.0,20640.2
23003.0,1993.0,43.0,25222.75
23003.0,1980.0,30.0,18160.93
23170.0,1980.0,33.0,18160.93
23170.0,1981.0,34.0,21272.82
23170.0,1979.0,32.0,16454.13
23170.0,1982.0,35.0,31383.78
23170.0,1978.0,31.0,15497.1
23170.0,1985.0,38.0,28367.24
23170.0,1988.0,41.0,62950.5
23170.0,1987.0,40.0,42922.55
23170.0,1984.0,37.0,27290.85
23170.0,1983.0,36.0,26859.2
23170.0,1986.0,39.0,43021.25
23170.0,1992.0,45.0,7508.0
36001.0,1979.0,52.0,8611.8
36001.0,1991.0,64.0,10449.0
36001.0,1984.0,57.0,12372.82
36001.0,1985.0,58.0,13107.24
36001.0,1988.0,61.0,13803.2
36001.0,1990.0,63.0,10351.0
36001.0,1983.0,56.0,11500.75
36001.0,1981.0,54.0,10614.02
36001.0,1992.0,65.0,10951.0
36001.0,1980.0,53.0,9280.62
36001.0,1982.0,55.0,10576.96
36001.0,1989.0,62.0,12264.92
36001.0,1987.0,60.0,13930.3
36001.0,1986.0,59.0,13838.77
36001.0,1978.0,51.0,8545.02
37001.0,1979.0,32.0,16991.55
