Year,id,delta_income,income
1979.0,433007.0,2584.4000000000015,20131.4
1979.0,436001.0,-3405.1500000000015,22148.6
1979.0,436002.0,-3405.1500000000015,22148.6
1979.0,436003.0,2978.1699999999983,23744.23
1979.0,436170.0,2380.5699999999997,17068.57
1979.0,436172.0,9124.08,17985.05
1979.0,438001.0,21881.4,37173.15
1979.0,439001.0,-1905.550000000001,11734.88
1979.0,440170.0,1362.4599999999991,19324.73
1979.0,441170.0,4434.7800000000025,21718.49
1979.0,442001.0,1525.460000000001,16739.04
1979.0,443004.0,1575.1000000000004,11607.95
1979.0,443005.0,-4176.85,6101.75
1979.0,443170.0,1575.1000000000004,11607.95
1979.0,444001.0,1607.1899999999987,17719.53
1979.0,445170.0,3512.7000000000007,18782.7
1979.0,446002.0,1295.9400000000005,5826.14
1979.0,446003.0,2224.3500000000004,11495.1
1979.0,449002.0,-645.8299999999999,13351.66
1979.0,450001.0,-1712.7600000000002,11638.74
1979.0,450005.0,1158.8500000000004,9466.53
1979.0,450021.0,1775.4799999999996,5149.23
1979.0,450170.0,869.9099999999999,17566.24
1979.0,452003.0,-2988.409999999998,13512.28
1979.0,452004.0,670.5999999999995,6878.98
1979.0,452021.0,1902.0900000000001,12587.58
1979.0,455001.0,1761.4500000000007,20293.75
1979.0,459001.0,-356.64999999999964,16133.85
1979.0,459002.0,-356.64999999999964,16133.85
1979.0,461001.0,388.8200000000006,8110.85
1979.0,461003.0,-363.09000000000015,10210.41
1979.0,465001.0,-1681.5,4834.0
1979.0,465003.0,-1975.3999999999996,12335.1
1979.0,470002.0,5041.3499999999985,18567.89
1979.0,471001.0,-3237.99,9132.41
1979.0,473001.0,980.369999999999,17409.42
1979.0,473002.0,980.369999999999,17409.42
1979.0,473021.0,2553.7100000000028,19674.15
1979.0,476001.0,-12027.150000000001,1904.3
1979.0,476170.0,-3795.9500000000007,10135.5
1979.0,478171.0,3133.0999999999985,21774.05
1979.0,479001.0,-7865.110000000001,23258.44
1979.0,479002.0,-7865.110000000001,23258.44
1979.0,479003.0,-18271.55,12852.0
1979.0,485003.0,662.5100000000002,11409.73
1979.0,486001.0,-6273.810000000001,27978.52
1979.0,486003.0,-6273.810000000001,27978.52
1979.0,487003.0,6304.67,12258.17
1979.0,489001.0,996.5,10519.2
1979.0,490003.0,9559.869999999999,19742.92
1979.0,491001.0,-854.7699999999968,17681.15
1979.0,492001.0,1176.33,5984.0
1979.0,492002.0,1176.33,5984.0
1979.0,494001.0,-2457.0999999999985,11048.36
1979.0,495001.0,-3063.6900000000005,9379.56
1979.0,495002.0,-3063.6900000000005,9379.56
1979.0,496003.0,3553.880000000001,14775.29
1979.0,496005.0,46.0,5815.54
1979.0,496172.0,3553.880000000001,14775.29
1979.0,497001.0,2725.5,15686.53
1979.0,498002.0,-900.7000000000007,10717.3
1979.0,506001.0,941.5600000000013,14039.53
1979.0,508001.0,3911.9799999999996,22229.73
1979.0,509001.0,-496.0699999999997,19485.13
1979.0,509002.0,-496.0699999999997,19485.13
1979.0,510001.0,1279.2999999999993,15201.31
1979.0,512002.0,3333.2000000000007,20272.46
1979.0,512170.0,3333.2000000000007,20272.46
1979.0,514003.0,1195.8599999999988,14315.65
1979.0,514170.0,2611.5499999999993,15808.8
1979.0,516001.0,1945.3500000000004,11035.35
1979.0,516002.0,2417.7000000000007,12177.5
1979.0,517001.0,6539.800000000003,46734.3
1979.0,519001.0,1715.8600000000006,18117.0
1979.0,519002.0,303.0,10113.15
1979.0,519170.0,1715.8600000000006,18117.0
1979.0,532021.0,2646.9000000000015,16789.15
1979.0,534021.0,-1670.9599999999991,12608.95
1979.0,536001.0,-781.3400000000001,15786.52
1979.0,536003.0,1249.5699999999997,14370.69
1979.0,536004.0,-3100.6499999999996,9309.0
1979.0,536005.0,-781.3400000000001,15786.52
1979.0,536170.0,1249.5699999999997,14370.69
1979.0,540170.0,6568.610000000001,18512.0
1979.0,541001.0,-6280.210000000001,9542.3
1979.0,542170.0,2217.949999999999,18072.05
1979.0,544021.0,1060.6500000000005,7462.85
1979.0,546001.0,3079.4000000000015,28351.15
1979.0,548001.0,533.6599999999999,25207.41
1979.0,548170.0,-10406.210000000001,13805.99
1979.0,554001.0,622.2999999999993,14436.38
1979.0,556001.0,-1060.7000000000007,15682.8
1979.0,556005.0,-1681.5400000000009,15061.96
1979.0,556170.0,2602.8999999999996,11768.6
1979.0,556171.0,5309.65,14134.4
1979.0,557170.0,4143.85,11833.6
1979.0,560001.0,2066.5999999999985,28455.05
1979.0,560002.0,2066.5999999999985,28455.05
1979.0,561001.0,1990.8100000000013,22431.07
